provinsi,kota_kabupaten,kecamatan,kelurahan_desa,latitude,longitude,tanggal,label_banjir,suhu_celcius,kelembapan_persen,curah_hujan_mm,kecepatan_angin_kmh,kondisi_cuaca,tahun,bulan,musim
Jawa Timur,Lumajang,Yosowilangun,Darungan,-8.257,113.252,2026-03-31,True,24.0,89.333,0.6,6.033,Berawan,2026,3,Hujan
Jawa Timur,Lumajang,Yosowilangun,Darungan,-8.257,113.252,2026-04-01,True,25.75,86.625,2.3,6.875,Cerah,2026,4,Peralihan
Jawa Timur,Lumajang,Yosowilangun,Darungan,-8.257,113.252,2026-04-02,True,25.75,89.625,2.4,6.775,Berawan,2026,4,Peralihan
Jawa Timur,Pasuruan,Nguling,Sanganom,-7.776,113.047,2026-03-31,False,24.333,86.0,0.0,3.233,Berawan,2026,3,Hujan
Jawa Timur,Pasuruan,Nguling,Sanganom,-7.776,113.047,2026-04-01,False,25.875,78.0,2.1,5.062,Cerah,2026,4,Peralihan
Jawa Timur,Pasuruan,Nguling,Sanganom,-7.776,113.047,2026-04-02,False,25.875,83.25,3.4,6.338,Berawan,2026,4,Peralihan
Jawa Timur,Probolinggo,Gading,Batur,-7.88,113.567,2026-03-31,False,19.0,95.0,0.0,3.967,Berawan,2026,3,Hujan
Jawa Timur,Probolinggo,Gading,Batur,-7.88,113.567,2026-04-01,False,20.75,85.375,2.9,4.55,Cerah,2026,4,Peralihan
Jawa Timur,Probolinggo,Gading,Batur,-7.88,113.567,2026-04-02,False,20.5,93.0,4.8,6.125,Udara Kabur,2026,4,Peralihan
Nusa Tenggara Timur,Kupang,Amfoang Utara,Afoan,-9.536,123.811,2026-03-31,False,25.0,86.0,0.4,3.3,Cerah,2026,3,Hujan
Nusa Tenggara Timur,Kupang,Amfoang Utara,Afoan,-9.536,123.811,2026-04-01,False,26.625,80.25,5.1,4.525,Cerah,2026,4,Peralihan
Nusa Tenggara Timur,Kupang,Amfoang Utara,Afoan,-9.536,123.811,2026-04-02,False,26.25,81.0,2.4,4.938,Cerah,2026,4,Peralihan
Sulawesi Barat,Pasangkayu,Dapurang,Dapurang,-1.733,119.358,2026-03-31,True,27.5,77.0,0.0,3.95,Cerah,2026,3,Hujan
Sulawesi Barat,Pasangkayu,Dapurang,Dapurang,-1.733,119.358,2026-04-01,True,27.75,77.875,1.9,4.288,Cerah,2026,4,Peralihan
Sulawesi Barat,Pasangkayu,Dapurang,Dapurang,-1.733,119.358,2026-04-02,True,26.0,87.75,7.4,3.575,Cerah,2026,4,Peralihan
Sulawesi Selatan,Maros,Tompobulu,Tompobulu,-5.137,119.699,2026-03-31,True,23.5,94.0,0.0,1.15,Berawan,2026,3,Hujan
Sulawesi Selatan,Maros,Tompobulu,Tompobulu,-5.137,119.699,2026-04-01,True,24.75,91.0,5.5,3.312,Berawan,2026,4,Peralihan
Sulawesi Selatan,Maros,Tompobulu,Tompobulu,-5.137,119.699,2026-04-02,True,25.0,91.75,5.8,3.325,Berawan,2026,4,Peralihan
Sumatera Barat,Agam,Ampek Angkek,Batu Taba,-0.317,100.416,2026-03-31,True,18.0,96.667,1.9,2.067,Berawan,2026,3,Hujan
Sumatera Barat,Agam,Ampek Angkek,Batu Taba,-0.317,100.416,2026-04-01,True,19.0,93.0,6.6,5.675,Berawan,2026,4,Peralihan
Sumatera Barat,Agam,Ampek Angkek,Batu Taba,-0.317,100.416,2026-04-02,True,19.5,92.5,3.2,6.188,Berawan,2026,4,Peralihan
